@timestamp,@message
2020-02-15 03:45:30.912,RoboMaker Log Recorder Starting...
2020-02-15 03:46:10.348,+ exec stdbuf -oL -eL roslaunch mars mars_full_sim.launch
2020-02-15 03:46:11.405,"WARNING: Could not change permissions for folder [/home/robomaker/.ros/log/b4b728da-4fa5-11ea-97ba-0242a9fe0103], make sure that the parent folder has correct permissions."
2020-02-15 03:46:11.405,Checking log directory for disk usage. This may take awhile.
2020-02-15 03:46:11.405,Press Ctrl-C to interrupt
2020-02-15 03:46:11.405,Done checking log file disk usage. Usage is <1GB.
2020-02-15 03:46:11.405,]2;/home/robomaker/workspace/applications/simulation-application/workspace/opt/built_workspace/mars/share/mars/launch/mars_full_sim.launch
2020-02-15 03:46:12.449,process[rover_ns/controller_spawner-6]: started with pid [166]
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_wheel_lm/has_position_limits: False
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_wheel_lm/has_jerk_limits: True
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_wheel_lm/has_effort_limits: True
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_wheel_lm/has_acceleration_limits: True
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_corner_lf/max_velocity: 10.0
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_corner_lf/max_jerk: 10.0
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_corner_lf/max_effort: 0.5
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_corner_lf/max_acceleration: 1
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_corner_lf/has_velocity_limits: True
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_corner_lf/has_position_limits: False
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_corner_lf/has_jerk_limits: True
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_corner_lf/has_effort_limits: True
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/bogie_left_corner_lf/has_acceleration_limits: True
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/body_rocker_right/max_velocity: 100.0
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/body_rocker_right/max_jerk: 100.0
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/body_rocker_right/max_effort: 10
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/body_rocker_right/max_acceleration: 10
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/body_rocker_right/has_velocity_limits: True
2020-02-15 03:46:12.449, * /rover_ns/joint_limits/body_rocker_right/has_position_limits: False
